UB,Cth,TL,TH,Rcoeff,time_median,time_p10,time_p90,severance_rate,final_R_mean,final_C_mean
1.0,0.8,10.0,2.0,0.2,11.0,11.0,11.0,0.0,17.200000000000024,1.2
2.0,0.8,10.0,2.0,0.2,10.0,10.0,10.0,0.0,14.500000000000004,1.1700000000000004
3.0,0.8,10.0,2.0,0.2,9.0,9.0,9.0,0.0,13.599999999999989,1.1400000000000001
4.0,0.8,10.0,2.0,0.2,8.0,8.0,8.0,0.0,14.500000000000009,1.1099999999999999
5.0,0.8,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
6.0,0.8,10.0,2.0,0.2,7.0,7.0,7.0,0.0,11.80000000000001,1.0799999999999996
7.0,0.8,10.0,2.0,0.2,6.0,6.0,6.0,0.0,17.199999999999996,1.0500000000000003
8.0,0.8,10.0,2.0,0.2,6.0,6.0,6.0,0.0,12.699999999999998,1.0500000000000003
9.0,0.8,10.0,2.0,0.2,6.0,6.0,6.0,0.0,8.20000000000001,1.0500000000000003
10.0,0.8,10.0,2.0,0.2,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5.0,0.5,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
5.0,0.55,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
5.0,0.6000000000000001,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
5.0,0.6500000000000001,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
5.0,0.7000000000000002,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
5.0,0.7500000000000002,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
5.0,0.8000000000000003,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
5.0,0.8500000000000003,10.0,2.0,0.2,7.0,7.0,7.0,0.0,17.19999999999999,1.0799999999999996
